University,IBM,EY,Shell,GSK,Google,L'Oréal,The Coca-Cola Company,Oi S.A,Michelin,Petrobras,Telefônica Brasil,Rede Globo,FGV - Fundação Getulio Vargas,Liq,Universidade Federal do Rio de Janeiro,B2W Digital,Petróleo Ipiranga,Cencosud S.A.,Universidade Federal Fluminense,Enel Brasil,Fiocruz,Globosat,UNIRIO,Cervejaria Ambev,Vale,Light,Pontifícia Universidade Católica do Rio de Janeiro,SulAmérica,Companhia Siderúrgica Nacional,Itaú Unibanco,TIM Brasil,Ibmec,Rede D'Or São Luiz,Universidade do Estado do Rio de Janeiro,BTG Pactual,OAB/RJ,M. Dias Branco,Universidade Federal Fluminense,Marinha do Brasil,Ilumno,Prefeitura da Cidade do Rio de Janeiro,MAN Latin America,Universidade Veiga de Almeida,Estácio,Via Varejo SA,Stone Pagamentos,Federal University of the State of Rio de Janeiro
Pontifícia Universidade Católica do Rio de Janeiro,359,13,2,5,62,7,1,45,3,62,6,45,33,4,11,77,6,1,5,1,5,11,1,0,23,1,88,22,4,4,15,6,12,11,9,2,0,4,7,3,3,0,8,20,2,62,2
Universidade do Estado do Rio de Janeiro,111,9,2,4,9,1,3,21,4,32,4,20,5,4,9,29,6,0,5,0,6,6,1,0,8,2,3,12,1,8,8,0,1,38,4,0,0,0,7,5,2,0,5,8,2,29,0
Universidade Federal do Rio de Janeiro,224,13,6,4,30,5,2,40,2,94,1,28,29,11,89,75,5,0,17,0,12,9,7,1,19,1,22,10,2,8,4,5,0,15,6,0,0,2,10,6,5,0,11,21,3,90,4
Universidade Federal Fluminense,127,13,0,1,7,5,0,26,0,42,6,18,15,8,19,55,1,0,60,6,8,6,0,1,12,1,5,9,2,11,8,2,10,10,3,0,0,26,15,3,2,0,7,10,1,60,0
Universidade Veiga de Almeida,67,9,0,1,4,1,0,17,1,18,3,19,4,5,2,20,3,0,0,0,4,6,0,1,6,1,1,5,0,0,8,0,8,5,0,1,0,0,3,14,1,0,21,3,0,30,0
Federal University of the State of Rio de Janeiro,33,5,0,0,2,1,0,6,1,5,1,4,3,1,6,22,1,0,1,0,6,1,3,0,1,0,0,1,0,1,2,0,0,1,1,0,0,2,3,1,1,0,1,1,0,7,12
Estácio,298,24,3,2,8,12,2,87,6,74,34,59,27,83,21,117,11,9,3,3,20,20,1,3,20,10,4,31,10,17,42,3,37,17,9,2,16,2,43,16,12,1,7,128,13,78,2
